,uplift_score
1,0.28884884849283193
2,0.25927696959214463
3,0.20261578999860042
9,0.2790160995326419
10,0.23660027197671335
11,0.2211092922281112
14,0.26364590960211515
15,0.29964816157288005
17,0.2592845320856941
20,0.28336649779638673
27,0.2795000424248386
28,0.26135024385895544
30,0.30821496930097
33,0.24629404198610222
37,0.2767384867772789
39,0.24305657802147151
42,0.2534285359057659
53,0.2661606061505133
60,0.21884138497571493
61,0.22976942333224482
62,0.2249294825096395
64,0.2582015189111658
65,0.2883075440644174
68,0.28962587764996656
69,0.24318603155787938
70,0.2509239395054046
71,0.27009786761978016
74,0.2077574863008227
77,0.2000905646859007
80,0.21403326055389416
81,0.22908666991739562
82,0.23596229530644242
83,0.20809485839976338
84,0.24467402725551501
86,0.20525183391529306
92,0.2644665853274832
93,0.29453764608328686
98,0.22017621227271744
99,0.22623228428889414
100,0.22248214662186905
101,0.3171089733888629
105,0.201907692363482
106,0.21022961921875255
111,0.2061461271515399
112,0.23297144614868748
113,0.24813167480168558
115,0.26832306747460233
119,0.2692408619623794
121,0.2721487534152533
124,0.2850367672691217
125,0.24792849789097304
126,0.25348413051644497
129,0.2644255240967678
131,0.2354326760818619
133,0.3092887229683491
134,0.2276064382364653
136,0.30767862345635244
137,0.2530807716849158
144,0.2583301806192338
145,0.21213839521991962
146,0.2673467873876647
149,0.28113402601393717
151,0.2784092599887958
155,0.29899646024727194
159,0.25569697771314065
161,0.269849992783001
163,0.27139525397854486
164,0.2511222135526798
170,0.20406806078205936
179,0.23516390036150325
185,0.2800821321803444
193,0.2130052150655058
198,0.20583995673568456
199,0.283455279629524
201,0.2594673971168835
202,0.3063366899811615
210,0.24549864491146423
216,0.2978957732919514
217,0.2578028008987973
218,0.24121115502940393
219,0.2684749920675
220,0.21479172888660258
222,0.2560387269265614
230,0.22539960280396898
233,0.2987850934846185
234,0.2549839563852802
238,0.2375173212584003
241,0.28338725397003117
243,0.21102232931632092
246,0.26900894925952756
247,0.25967067254127746
255,0.2647103577648424
257,0.23962995109954122
259,0.2032972002737189
262,0.24717025832281553
264,0.24717044867581345
266,0.22562640361396763
267,0.20150589875935876
269,0.2588425010608984
270,0.27295697603548746
274,0.3172101126692135
275,0.20530209931698085
282,0.21373394974894766
287,0.27883555253978837
288,0.22556998978723974
297,0.2963701425730014
300,0.2082659431059774
301,0.2227741066382395
303,0.20956272586015173
304,0.23847003541921508
305,0.2295821743540502
306,0.2935961615709326
307,0.30235045685130896
308,0.22854642528407143
311,0.2033116517497594
314,0.25766478870837156
317,0.2655601450237178
319,0.24615083357543038
321,0.2788378406106033
323,0.2403542328130024
325,0.2693179015727349
326,0.25261287567982665
327,0.24777001180331976
329,0.25874308657939826
333,0.2688793670005271
337,0.23689930251940916
339,0.2860811513720508
340,0.2076330902343007
342,0.22625395030905976
343,0.3200499366996233
344,0.22494825966918403
348,0.27431654857139404
352,0.24943000228091067
353,0.2740315891882964
354,0.2157774684692771
355,0.22087015674771004
359,0.27916248374932484
360,0.26453661842695764
361,0.2621975178740604
365,0.2685573447238662
368,0.20291414772109462
370,0.2365530973257592
372,0.2546654756014089
373,0.2741323113033138
377,0.23615244549320524
378,0.27770803948021167
380,0.286192230442537
385,0.29302527436897113
388,0.20975933797391755
389,0.23760255022685078
393,0.2536712723609369
400,0.23961360844177054
403,0.2145260678362067
404,0.23600975057636986
409,0.30521151263301033
412,0.21346391622426808
415,0.2701059212705229
420,0.3028987845811493
422,0.2910819149344336
426,0.22558159406061068
432,0.3282406102577006
435,0.22610559619168064
436,0.2663640233047496
437,0.20645087837831477
438,0.21914588690123116
440,0.2812625362765116
442,0.241373818700451
445,0.2741147129133732
448,0.23931388718481866
449,0.2662534265522885
450,0.23210362825271796
452,0.2341281861079677
453,0.22420973844084807
454,0.2670419718156797
456,0.23337710564866537
457,0.31623722695595213
458,0.21033955004633648
459,0.27666533131515353
462,0.22786489653161718
467,0.20957655372023576
468,0.24933901761179672
469,0.25007233624045405
477,0.21181691818967002
480,0.2814542122420506
481,0.22594724634537394
482,0.2403845917209162
483,0.27645797025608054
484,0.2787074454870658
487,0.3182658085983981
489,0.23333855755692645
490,0.22759490515592207
491,0.23113959372735216
492,0.20811905542911768
495,0.25944841982065636
496,0.22356972788340818
497,0.23720303459628328
498,0.3285353607888355
501,0.20836265382922065
504,0.3269167156199647
509,0.25896685974385664
512,0.2638335920062407
514,0.25990453416587206
517,0.2979214715082794
519,0.2817134768205391
523,0.28307405655801404
524,0.30466021970781426
525,0.22961992740867332
526,0.273074830281657
529,0.2845176759803966
530,0.299268071550807
549,0.2836435302773768
550,0.2543983421883532
551,0.29831956465313786
552,0.20904746713951222
556,0.29437423067157426
561,0.26763833122656105
566,0.22571679606854744
569,0.2036547082829253
571,0.2249252813844802
572,0.20887118799170573
574,0.2828981927970665
575,0.21977064501736848
576,0.29358911627046924
579,0.2645219497705739
582,0.21563498360773048
585,0.2915797672560906
590,0.29345496571200974
598,0.23772661586881527
600,0.2824738719729784
603,0.29037914827859207
611,0.2469794963285345
614,0.29495845888514277
616,0.2704022767964112
617,0.25045941586248954
620,0.2649762071685563
621,0.24296562129318494
623,0.2745254157219451
624,0.24353760740374542
625,0.2558289089120999
631,0.2533619833542361
633,0.22098446895369733
635,0.2088917632155215
638,0.2124157604728676
640,0.24127491400571494
644,0.21611920022159037
646,0.2122243213383277
649,0.21577959536294006
650,0.23784751991151837
652,0.2161847802760839
653,0.2196148211526298
654,0.27414957254366756
655,0.25584315905788535
660,0.2527330014974251
661,0.246557708804706
665,0.252358986057121
668,0.2663342668074059
669,0.3133816063597622
673,0.29691404074655264
675,0.207668994175141
676,0.2975926711286396
677,0.23726957944904226
679,0.21153847988109287
680,0.265510686888121
685,0.20472050763255512
688,0.2808336228001609
689,0.269022725038854
690,0.2757723532852946
692,0.23895730205972504
695,0.2294903352396943
696,0.2048460108795278
699,0.23606592018230632
701,0.2607488595279136
703,0.21517426642686543
706,0.20441580005435167
707,0.31103987484517176
708,0.2642434182952227
711,0.2090114495215989
713,0.2294831190768835
714,0.24480125759883703
715,0.2940343355558162
720,0.2014566130983772
723,0.26846103505718166
727,0.2904153550756853
729,0.2943447980373192
735,0.27441643085376805
737,0.21958552802874087
740,0.20119144806164574
742,0.23258381272503886
750,0.23234588036974685
753,0.22630134541891528
754,0.2322217840278485
755,0.27386229754171704
757,0.29412403681151567
758,0.2518374925499046
760,0.26584477123845834
764,0.22909582317913363
765,0.3001539595936354
767,0.3023773973206606
771,0.22130545746672925
777,0.27133385553162925
785,0.27261085706993116
786,0.21331470193909857
788,0.2539608167392712
792,0.20121974658515596
794,0.27381172754060484
796,0.2925500475649161
798,0.2736120227717153
799,0.22492856515856147
803,0.26345666326462236
804,0.2106471578443775
806,0.2388150728245541
808,0.222947318339339
813,0.28530257714585744
814,0.261394389248188
816,0.2578436634074486
819,0.2445821740602651
822,0.29740199315385335
832,0.20534921515610038
834,0.2346369948021808
837,0.24716565319741468
838,0.20255305827143422
839,0.2551912085243627
842,0.23390573797293063
843,0.27817291265143435
847,0.23808565896606354
848,0.26293566625147924
849,0.20090349687421982
855,0.22381474070859914
857,0.25553975201663287
860,0.24266330306904765
864,0.21638657898082214
866,0.2570547941988881
869,0.2774575302150035
873,0.21905706847788514
874,0.2399620581432434
875,0.22043900955595547
881,0.32177863025653913
883,0.2747087416723428
886,0.2659332280871087
887,0.26144557511421884
888,0.26978680662934484
891,0.28614050828929233
892,0.2681574433454254
893,0.25863115028489286
898,0.25270724392768645
900,0.25715734022909875
901,0.2939408020307416
903,0.23218412332785626
908,0.23652637614825822
910,0.2201185638761763
912,0.25587451667436556
915,0.21751586636426418
916,0.30156234733640164
919,0.22850893252742294
920,0.253155810610116
923,0.24688963146938775
924,0.21070725728484424
926,0.2171591980527257
930,0.20647704177767873
935,0.22561768323728076
940,0.2601155457169607
941,0.24154172452532313
942,0.2475245998127153
946,0.24119932131489313
951,0.2547905704153956
955,0.24313250190054048
956,0.2325648728102953
959,0.27537135457136575
961,0.26488709358262086
962,0.2508705017450322
965,0.21131415662562442
966,0.30209066058965006
974,0.2843145651843322
979,0.2105745538866477
980,0.2704643154635356
984,0.21509672927464957
987,0.2251637665583483
990,0.28518822458325427
993,0.3318724598552546
995,0.29055404211625374
998,0.20734115815599935
1001,0.2231188552866572
1004,0.2842997201273587
1007,0.276914930197766
1009,0.20760411416827346
1016,0.28145711727097694
1019,0.27170850291206017
1023,0.26037462590029126
1024,0.2264443659333245
1026,0.2516689141086752
1028,0.22680151120879094
1029,0.22291534609133468
1031,0.26375740641801887
1034,0.23489867098717204
1037,0.2778161076277765
1041,0.2620210109282855
1043,0.21085297378790357
1047,0.22827101889922002
1048,0.21366123440048979
1052,0.25699520504025636
1060,0.3234699449636087
1061,0.2818084690817342
1062,0.32599874208744084
1063,0.24186721791377608
1064,0.31681467236930927
1065,0.23562703057175016
1067,0.2228410114508837
1075,0.2717077832998003
1077,0.22675586364607303
1080,0.23262843182499576
1086,0.2921555309047222
1089,0.24007154106012518
1090,0.27703694392362954
1091,0.21222506555728365
1094,0.20510469782163143
1098,0.2878119952062757
1099,0.22082083988867868
1104,0.2319645022558079
1105,0.24684332178599622
1106,0.22336108178900682
1107,0.3060721304792995
1108,0.2590817370187044
1110,0.23370154341405336
1114,0.32342051521401516
1116,0.24863314175362894
1122,0.2915239494681896
1123,0.27089886857952705
1125,0.254700315678169
1126,0.25093846806898923
1129,0.29196962926163295
1131,0.23030612243880866
1134,0.2684568165709453
1136,0.32090106813415503
1137,0.26848102094413095
1142,0.2879858318586233
1143,0.2081410792885981
1147,0.20107581705387262
1150,0.29270837719659026
1151,0.2686067647236869
1153,0.31691031496400857
1155,0.245238204081764
1156,0.22758859376945706
1158,0.2880521389661511
1159,0.24323992439501557
1165,0.25156270641339457
1166,0.2096034137636591
1169,0.26592466384070346
1171,0.3224902069309095
1174,0.3050232314198424
1175,0.22582235599835482
1177,0.27075973689032184
1178,0.24619902132233906
1181,0.20679214542162966
1182,0.26576207168216176
1185,0.24178988315719968
1186,0.2212999635203039
1194,0.28479391330028
1196,0.25315655338559667
1197,0.26859905963764463
1198,0.2317330190104221
1203,0.2639573334104543
1205,0.2638473878741994
1210,0.28023064883480725
1215,0.2231378916835563
1217,0.2788579391404553
1218,0.23865276447934397
1222,0.2136621770950105
1223,0.3160420650053051
1227,0.2457326531746004
1228,0.20441470766392073
1230,0.26722633209255875
1231,0.30091127662283085
1233,0.24681476414457026
1236,0.2452030097435075
1238,0.2555117805495832
1239,0.24175267164973696
1240,0.21278619878059973
1242,0.24648954652660776
1243,0.22358251510832672
1246,0.21345191094864407
1247,0.21063701334087587
1248,0.30335434252308113
1249,0.25026692833857345
1254,0.26278700737550775
1258,0.21231587461419515
1259,0.22664785017515332
1263,0.2420419652313604
1264,0.27694456329650946
1267,0.27819655608136684
1268,0.21645480688611723
1271,0.20941180805808562
1273,0.21679225919909956
1274,0.2181337936299636
1283,0.22012456110941964
1285,0.22598433692710257
1286,0.2107788611716685
1290,0.254548761858437
1293,0.28096558677027883
1296,0.30818036435380175
1299,0.27853669328581354
